"filename", "language", "JSON", "C#", "Database", "comment", "blank", "total"
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Examples\Scripts\AudioClipPlayer.cs", "C#", 0, 23, 0, 3, 5, 31
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Examples\Scripts\CameraAdjuster.cs", "C#", 0, 22, 0, 0, 4, 26
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Examples\Scripts\CameraRenderTexture.cs", "C#", 0, 17, 0, 0, 2, 19
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Examples\Scripts\ExamplePlayerControl.cs", "C#", 0, 11, 0, 0, 2, 13
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Examples\Scripts\FontPreviewText.cs", "C#", 0, 25, 0, 3, 5, 33
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Examples\Scripts\WindowSettingsWindow.cs", "C#", 0, 40, 0, 0, 10, 50
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\ActionMenuController.cs", "C#", 0, 50, 0, 10, 8, 68
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\CustomCursorStandaloneInputModule.cs", "C#", 0, 66, 0, 3, 10, 79
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\D90Button.cs", "C#", 0, 54, 0, 3, 8, 65
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\DesktopIcon.cs", "C#", 0, 83, 0, 5, 11, 99
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\DigitalClock.cs", "C#", 0, 34, 0, 3, 7, 44
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\DraggableTopbar.cs", "C#", 0, 67, 0, 7, 13, 87
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\Editor\D90ButtonEditor.cs", "C#", 0, 38, 0, 4, 11, 53
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\Editor\PrefabInstantiatorMenu.cs", "C#", 0, 47, 0, 3, 21, 71
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\Editor\PrefabInstantiatorMethods.cs", "C#", 0, 138, 0, 40, 22, 200
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\PauseMenu.cs", "C#", 0, 36, 0, 3, 8, 47
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Desktop90_UI\Scripts\WindowController.cs", "C#", 0, 127, 0, 21, 24, 172
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Editor\RenameEditor.cs", "C#", 0, 15, 0, 0, 2, 17
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\Dialogue.cs", "C#", 0, 13, 0, 0, 2, 15
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\DialogueObserver.cs", "C#", 0, 32, 0, 0, 9, 41
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\DialogueReporter.cs", "C#", 0, 52, 0, 0, 8, 60
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\DialogueTrigger.cs", "C#", 0, 27, 0, 0, 3, 30
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\DialogueWindowController.cs", "C#", 0, 116, 0, 2, 16, 134
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\InventoryController.cs", "C#", 0, 136, 0, 0, 10, 146
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\InventoryPanel.cs", "C#", 0, 29, 0, 0, 5, 34
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\InventorySaveLoad.cs", "C#", 0, 17, 0, 0, 2, 19
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\ItemController.cs", "C#", 0, 202, 0, 1, 32, 235
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\Items\Item.cs", "C#", 0, 15, 0, 3, 7, 25
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\Items\ItemSaveData.cs", "C#", 0, 38, 0, 4, 6, 48
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\Items\Package.cs", "C#", 0, 12, 0, 0, 4, 16
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\SingleItemPanelController.cs", "C#", 0, 45, 0, 0, 6, 51
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\Types\IType.cs", "C#", 0, 10, 0, 0, 3, 13
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Misc\BlinkingLight.cs", "C#", 0, 31, 0, 0, 2, 33
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Misc\FollowPlayer.cs", "C#", 0, 12, 0, 1, 3, 16
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Misc\RenameAttribute.cs", "C#", 0, 15, 0, 0, 2, 17
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\NPC\NPCController.cs", "C#", 0, 62, 0, 0, 12, 74
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Player\PlayerController.cs", "C#", 0, 344, 0, 15, 41, 400
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Player\States\BaseStates.cs", "C#", 0, 83, 0, 9, 20, 112
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Player\States\Controllers\StateController.cs", "C#", 0, 62, 0, 0, 7, 69
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Player\States\Controllers\StateStack.cs", "C#", 0, 47, 0, 4, 12, 63
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Player\States\ExtraStates.cs", "C#", 0, 95, 0, 5, 21, 121
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Player\States\PlayerState.cs", "C#", 0, 12, 0, 9, 4, 25
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Respawn\RespawnData.cs", "C#", 0, 12, 0, 4, 3, 19
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Respawn\RespawnPointController.cs", "C#", 0, 32, 0, 0, 5, 37
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Saving\SaveLoad.cs", "C#", 0, 25, 0, 0, 3, 28
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Exception\InventoryIsFullException.cs", "C#", 0, 9, 0, 0, 3, 12
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Exception\InventorySlotOccupiedException.cs", "C#", 0, 9, 0, 0, 3, 12
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Exception\ItemNotFoundException.cs", "C#", 0, 9, 0, 0, 3, 12
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Exception\ItemQuantityRequestedLessThanStoredException.cs", "C#", 0, 9, 0, 0, 3, 12
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Storage\Storage.cs", "C#", 0, 114, 0, 3, 10, 127
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Vector2Int.cs", "C#", 0, 25, 0, 0, 5, 30
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\Database\TaskDatabaseAccess.cs", "C#", 0, 21, 0, 0, 4, 25
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\Task.cs", "C#", 0, 76, 0, 0, 8, 84
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\TaskGiver.cs", "C#", 0, 28, 0, 0, 5, 33
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\TaskGiverWindow.cs", "C#", 0, 18, 0, 0, 4, 22
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\TaskGoal.cs", "C#", 0, 47, 0, 0, 6, 53
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\TaskReciever.cs", "C#", 0, 42, 0, 0, 6, 48
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\TaskStage.cs", "C#", 0, 24, 0, 0, 3, 27
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\UI\TaskBlerbController.cs", "C#", 0, 33, 0, 0, 4, 37
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\UI\TaskCompletedSwitch.cs", "C#", 0, 21, 0, 0, 6, 27
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\UI\TaskLogController.cs", "C#", 0, 95, 0, 0, 15, 110
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Tasks\UI\TaskPanelController.cs", "C#", 0, 52, 0, 0, 8, 60
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Packages\manifest.json", "JSON", 50, 0, 0, 0, 1, 51
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Packages\packages-lock.json", "JSON", 431, 0, 0, 0, 1, 432
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\TaskLog.sqlite", "Database", 0, 0, 4, 0, 0, 4
"Total", "-", 481, 3101, 4, 168, 519, 4273