"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Debug\DebugCommand.cs", "C#", 58, 0, 9, 67
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Debug\DebugController.cs", "C#", 64, 0, 12, 76
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\Dialogue.cs", "C#", 1, 3, 0, 4
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\DialogueObserver.cs", "C#", 0, 3, -1, 2
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\DialogueReporter.cs", "C#", 3, 3, 1, 7
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Dialogue\DialogueWindowController.cs", "C#", -2, 0, 0, -2
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\InventoryController.cs", "C#", 45, 7, 10, 62
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\InventoryPanel.cs", "C#", -1, 0, 0, -1
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\ItemController.cs", "C#", 92, 9, 5, 106
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\Items\ItemSaveData.cs", "C#", 11, 0, 1, 12
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\Items\Package.cs", "C#", 21, 0, 0, 21
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Inventory\SingleItemPanelController.cs", "C#", 3, 0, 3, 6
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Loot\LootBlerbController.cs", "C#", 64, 0, 13, 77
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Loot\LootObserver.cs", "C#", 32, 0, 9, 41
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Loot\LootReporter.cs", "C#", 60, 0, 8, 68
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Loot\LootWindowController.cs", "C#", 129, 3, 17, 149
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Loot\Quantity\QuantityWindowController.cs", "C#", 70, 0, 17, 87
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\NPC\NPCController.cs", "C#", 15, 1, 1, 17
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Player\PlayerController.cs", "C#", 29, 0, 1, 30
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\Player\States\BaseStates.cs", "C#", 10, 0, 1, 11
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Exception\CannotStorePackageInPackageException.cs", "C#", 10, 0, 3, 13
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Exception\LootWindowIsOpenException.cs", "C#", 9, 0, 1, 10
"c:\Users\The_N\OneDrive\Documents\Game Design\Unity\Project Mailbot\Assets\Scripts\System\Exception\PackageIsFullException.cs", "C#", 9, 0, 1, 10
"Total", "-", 732, 29, 112, 873